../test/testdata/test_tmp
Epoch:0, train loss:3.264032349866979, train accuracy:1.9243986254295533, validation loss:3.2629507780075073, validation accuracy:2.0, loss diff:0.001081571859471886
Epoch:1, train loss:3.2593316190383015, train accuracy:3.5051546391752577, validation loss:3.260841131210327, validation accuracy:3.0, loss diff:0.0015095121720256621
Epoch:2, train loss:3.2594730433295753, train accuracy:3.0240549828178693, validation loss:3.2619367837905884, validation accuracy:4.0, loss diff:0.002463740461013053
Epoch:3, train loss:3.2589619440190933, train accuracy:4.673539518900344, validation loss:3.2627055644989014, validation accuracy:3.0, loss diff:0.0037436204798080297
Epoch:4, train loss:3.25855229882633, train accuracy:4.1924398625429555, validation loss:3.263578772544861, validation accuracy:3.0, loss diff:0.005026473718531044
Epoch:5, train loss:3.2582676270428825, train accuracy:3.8487972508591066, validation loss:3.262508988380432, validation accuracy:3.0, loss diff:0.004241361337549598
Epoch:6, train loss:3.2582285824943993, train accuracy:3.986254295532646, validation loss:3.259627342224121, validation accuracy:4.0, loss diff:0.0013987597297218102
Epoch:7, train loss:3.2581961575676415, train accuracy:3.986254295532646, validation loss:3.254567861557007, validation accuracy:9.0, loss diff:0.003628296010634635
Epoch:8, train loss:3.2520875089308796, train accuracy:6.941580756013746, validation loss:3.2333521842956543, validation accuracy:9.0, loss diff:0.018735324635225314
Epoch:9, train loss:3.2308261955485627, train accuracy:9.209621993127147, validation loss:3.2176018953323364, validation accuracy:8.0, loss diff:0.013224300216226226
Epoch:10, train loss:3.1995647514567658, train accuracy:9.621993127147766, validation loss:3.1931432485580444, validation accuracy:9.0, loss diff:0.006421502898721343
Epoch:11, train loss:3.124179391299977, train accuracy:14.0893470790378, validation loss:2.94783091545105, validation accuracy:17.0, loss diff:0.17634847584892732
Epoch:12, train loss:3.06964513834785, train accuracy:14.707903780068728, validation loss:3.0272152423858643, validation accuracy:23.0, loss diff:0.042429895961985764
Epoch:13, train loss:2.9632687007679657, train accuracy:20.0, validation loss:2.8774040937423706, validation accuracy:30.0, loss diff:0.08586460702559506
Epoch:14, train loss:2.9205089737387264, train accuracy:21.786941580756015, validation loss:2.7694690227508545, validation accuracy:22.0, loss diff:0.15103995098787193
Epoch:15, train loss:2.863774580114028, train accuracy:22.68041237113402, validation loss:2.726604700088501, validation accuracy:26.0, loss diff:0.1371698800255272
